Name,RealName,Nationality,Birthday,BirthPlace,Agency,Team,Image
임나영,임나영 (林娜榮),대한민국,1995년 12월 18일,대한민국 서울특별시,써브라임 아티스트 에이전시,프리스틴,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/180528_%ED%94%84%EB%A6%AC%EC%8A%A4%ED%8B%B4_V_%EC%9E%84%EB%82%98%EC%98%81.jpg/250px-180528_%ED%94%84%EB%A6%AC%EC%8A%A4%ED%8B%B4_V_%EC%9E%84%EB%82%98%EC%98%81.jpg
김청하,김찬미 (金讚美),대한민국,1996년 02월 09일,대한민국 서울특별시,M&H 엔터테인먼트,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Chungha_at_Gaon_Music_Awards_red_carpet_on_January_8%2C_2020.png/250px-Chungha_at_Gaon_Music_Awards_red_carpet_on_January_8%2C_2020.png
김세정,김세정 (金世正),대한민국,1996년 08월 28일,대한민국 전라북도 김제시,젤리피쉬 엔터테인먼트,구구단,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/191231_%EA%B9%80%EC%84%B8%EC%A0%95.jpg/250px-191231_%EA%B9%80%EC%84%B8%EC%A0%95.jpg
정채연,정채연 (鄭彩娟),대한민국,1997년 12월 01일,대한민국 전라남도 순천시 조례동,MBK 엔터테인먼트,다이아,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Chaeyeon_at_Gaon_Music_Awards_red_carpet_on_January_8%2C_2020_02.jpg/250px-Chaeyeon_at_Gaon_Music_Awards_red_carpet_on_January_8%2C_2020_02.jpg
주결정,"저우제충 (周洁琼,Zhōu Jiéqióng)",중화인민공화국,1998년 12월 16일,중화인민공화국 저장 성 타이저우 시,플레디스 엔터테인먼트,프리스틴,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Zhou_Jieqiong_at_Seoul_Music_Awards_on_January_25%2C_2018_%282%29.jpg/250px-Zhou_Jieqiong_at_Seoul_Music_Awards_on_January_25%2C_2018_%282%29.jpg
김소혜,김소혜 (金素慧),대한민국,1999년 07월 19일,대한민국 서울특별시,S&P 엔터테인먼트,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/191005_%EA%B9%80%EC%86%8C%ED%98%9C.jpg/250px-191005_%EA%B9%80%EC%86%8C%ED%98%9C.jpg
유연정,유연정 (兪璉靜),대한민국,1999년 08월 03일,대한민국 경기도 광명시,"스타쉽 엔터테인먼트, 위에화 엔터테인먼트",우주소녀,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/170617_%EC%9C%A0%EC%97%B0%EC%A0%95_%EB%AF%B8%EB%8B%88%ED%8C%AC%EB%AF%B8%ED%8C%85_%285%29.jpg/300px-170617_%EC%9C%A0%EC%97%B0%EC%A0%95_%EB%AF%B8%EB%8B%88%ED%8C%AC%EB%AF%B8%ED%8C%85_%285%29.jpg
최유정,최유정 (崔有情),대한민국,1999년 11월 12일,대한민국 경기도 구리시,판타지오,위키미키,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/190226_%EC%B5%9C%EC%9C%A0%EC%A0%95.jpg/250px-190226_%EC%B5%9C%EC%9C%A0%EC%A0%95.jpg
강미나,강미나 (康美娜),대한민국,1999년 12월 04일,대한민국 경기도 이천시,젤리피쉬 엔터테인먼트,구구단,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/191018_%EA%B0%95%EB%AF%B8%EB%82%98.jpg/250px-191018_%EA%B0%95%EB%AF%B8%EB%82%98.jpg
김도연,김도연 (金度延),대한민국,1999년 12월 04일, 대한민국 인천광역시 부평구,판타지오,위키미키,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/181011_%EC%9C%84%ED%82%A4%EB%AF%B8%ED%82%A4_%EA%B9%80%EB%8F%84%EC%97%B0_%282%29.jpg/250px-181011_%EC%9C%84%ED%82%A4%EB%AF%B8%ED%82%A4_%EA%B9%80%EB%8F%84%EC%97%B0_%282%29.jpg
전소미,"에닉 소미 다우마(Ennik Somi Douma), 전소미","캐나다, 대한민국",2001년 03월 09일,캐나다,더블랙레이블,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/190823_%EC%A0%84%EC%86%8C%EB%AF%B8_%282%29.jpg/250px-190823_%EC%A0%84%EC%86%8C%EB%AF%B8_%282%29.jpg
